관리_건축물대장_PK,대장_구분_코드,대장_구분_코드_명,대장_종류_코드,대장_종류_코드_명,대지_위치,도로명_대지_위치,건물_명,시군구_코드,법정동_코드,대지_구분_코드,번,지,특수지_명,블록,로트,외필지_수,새주소_도로_코드,새주소_법정동_코드,새주소_지상지하_코드,새주소_본_번,새주소_부_번,동_명,주_부속_구분_코드,주_부속_구분_코드_명,대지_면적(㎡),건축_면적(㎡),건폐_율(%),연면적(㎡),용적_률_산정_연면적(㎡),용적_률(%),구조_코드,구조_코드_명,기타_구조,주_용도_코드,주_용도_코드_명,기타_용도,지붕_코드,지붕_코드_명,기타_지붕,세대_수(세대),가구_수(가구),높이(m),지상_층_수,지하_층_수,승용_승강기_수,비상용_승강기_수,부속_건축물_수,부속_건축물_면적(㎡),총_동_연면적(㎡),옥내_기계식_대수(대),옥내_기계식_면적(㎡),옥외_기계식_대수(대),옥외_기계식_면적(㎡),옥내_자주식_대수(대),옥내_자주식_면적(㎡),옥외_자주식_대수(대),옥외_자주식_면적(㎡),허가_일,착공_일,사용승인_일,허가번호_년,허가번호_기관_코드,허가번호_기관_코드_명,허가번호_구분_코드,허가번호_구분_코드_명,호_수(호),에너지효율_등급,에너지절감_율,에너지_EPI점수,친환경_건축물_등급,친환경_건축물_인증점수,지능형_건축물_등급,지능형_건축물_인증점수,생성_일자,경도,위도
26380-33660,1,일반,2,일반건축물,부산광역시 사하구 감천동 330-5번지, 부산광역시 사하구 원양로350번길 38,,26380,10800,0,330,5,,,,0,2.64E+11,10801,0,38,0,,0,주건축물,0,0,0,59.01,0,0,12,블록구조,블럭조,1000,단독주택,단독주택,10,(철근)콘크리트,스라브,0,1,0,1,0,0,0,0,0,59.01,0,0,0,0,0,0,0,0,19740504,,19740604,,,,,,0,,0,0,,0,,0,20140521,129.0077001,35.08094261
26470-100172244,1,일반,2,일반건축물,부산광역시 연제구 연산동 2138-41번지, 부산광역시 연제구 쌍미천로 27-2,,26470,10200,0,2138,41,,,,0,2.65E+11,10201,0,27,2,,0,주건축물,139.2,32.76,23.53,54,54,38.79,32,경량철골구조,경량철골구조,3000,제1종근린생활시설,"제1종근린생활시설(소매점), 제2종근린생활시설(수리점)",90,기타지붕,샌드위치판넬,0,0,6,2,0,0,0,0,0,54,0,0,0,0,0,0,0,0,20071116,20071208,20080205,2007,3370046,건축과,1201,신축신고,0,,0,0,,0,,0,20140514,129.0907323,35.17575802
26470-6211,1,일반,2,일반건축물,부산광역시 연제구 연산동 333-5번지, 부산광역시 연제구 고분로 48,,26470,10200,0,333,5,,,,0,2.65E+11,10201,0,48,0,,0,주건축물,0,87.27,0,97.7,163.3,0,12,블록구조,조적조(보강블럭),1000,단독주택,"단독주택, 근린생활시설",10,(철근)콘크리트,평스라브,0,1,0,2,0,0,0,0,0,97.7,0,0,0,0,0,0,0,0,19780414,,19780706,,,,,,0,,0,0,,0,,0,20140520,129.0875742,35.18545147
26530-100189952,1,일반,2,일반건축물,부산광역시 사상구 학장동 260-4번지, 부산광역시 사상구 대동로 228,B동,26530,10700,0,260,4,,,,0,2.65E+11,10702,0,228,0,,0,주건축물,0,306.62,0,306.62,306.62,0,31,일반철골구조,철골조,17000,공장,공장,90,기타지붕,샌드위치판넬,0,0,0,1,0,0,0,0,0,306.62,0,0,0,0,0,0,0,0,,20000807,20010309,,,,,,0,,0,0,,0,,0,20140520,128.9853568,35.14764597
26530-14180,1,일반,2,일반건축물,부산광역시 사상구 감전동 130-26번지, 부산광역시 사상구 새벽시장로 69-9,B동,26530,10500,0,130,26,,,,0,2.65E+11,10501,0,69,9,,0,주건축물,235.9,63.24,26.81,123.45,123.45,52.33,12,블록구조,브록조,1000,단독주택,공동주택,10,(철근)콘크리트,슬라브,0,4,7.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19761005,,19770401,,,,,,0,,0,0,,0,,0,20140514,128.9814914,35.15544642
26530-14183,1,일반,2,일반건축물,부산광역시 사상구 감전동 130-27번지, 부산광역시 사상구 새벽시장로 71,,26530,10500,0,130,27,,,,0,2.65E+11,10501,0,71,0,,0,주건축물,0,67.77,0,67.77,67.77,0,12,블록구조,브록조,1000,단독주택,"주택, 점포",10,(철근)콘크리트,슬라브,0,1,0,1,0,0,0,0,0,67.77,0,0,0,0,0,0,0,0,19950624,,19950629,,,,,,0,,0,0,,0,,0,20140514,128.9816917,35.15515378
26530-14186,1,일반,2,일반건축물,부산광역시 사상구 감전동 130-27번지, 부산광역시 사상구 새벽시장로 71-4,,26530,10500,0,130,27,,,,0,2.65E+11,10501,0,71,4,,0,주건축물,0,53.55,0,53.55,53.55,0,12,블록구조,평브록조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,0,1,0,0,0,0,0,53.55,0,0,0,0,0,0,0,0,19760315,,19760430,,,,,,0,,0,0,,0,,0,20140514,128.9816917,35.15515378
26530-14596,1,일반,2,일반건축물,부산광역시 사상구 감전동 145-6번지, 부산광역시 사상구 새벽시장로56번가길 50-47,,26530,10500,0,145,6,,,,0,2.65E+11,10501,0,50,47,,0,주건축물,437.54,130.68,29.87,243.08,243.08,55.56,12,블록구조,브록조,1000,단독주택,공동주택,10,(철근)콘크리트,스라브,0,4,7.6,2,0,0,0,0,0,243.08,0,0,0,0,0,0,0,0,19770723,,19771031,,,,,,0,,0,0,,0,,0,20140514,128.9775697,35.15493125
26530-14612,1,일반,2,일반건축물,부산광역시 사상구 감전동 145-15번지, 부산광역시 사상구 새벽시장로46번길 12,,26530,10500,0,145,15,,,,0,2.65E+11,10501,0,12,0,,0,주건축물,0,95.86,0,230.39,205.99,0,12,블록구조,브록조,1000,단독주택,"주택, 점포",10,(철근)콘크리트,슬라브,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19740413,,19740529,,,,,,0,,0,0,,0,,0,20140514,128.9782837,35.15488824
26530-14804,1,일반,2,일반건축물,부산광역시 사상구 감전동 150-20번지, 부산광역시 사상구 새벽로121번길 98-6,A동,26530,10500,0,150,20,,,,0,2.65E+11,10501,0,98,6,,0,주건축물,220.83,64.13,29.04,124.83,124.83,56.53,12,블록구조,브록조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19760401,,19760820,,,,,,0,,0,0,,0,,0,20140514,128.9771002,35.1531764
