관측소,주소,경도,위도,조사년도,암반층관측정수위,암반층관측정표고,암반층관측정심도,충적층관측정수위,충적층관측정표고,충적층관측정심도
가평가평,경기 가평군 가평읍 624-1,127.4639099,37.86041659,2016,58.52,61.48,2.96,58.59,61.48,2.89
가평북면,경기 가평군 북면 목동리 866-2,127.5513956,37.88651663,2016,109.74,120.65,10.91,-,-,-
가평상면,경기 가평군 상면 임초리 643,127.3784243,37.77209767,2016,136.09,139.58,3.49,-,-,-
가평외서,경기 가평군 청평면 고성리 55,127.5062299,37.71375322,2016,49.84,57.9,8.06,-,-,-
강릉연곡,강원 강릉시 연곡면 퇴곡1리 720-5,128.7825782,37.84794494,2016,39.9,44.77,4.87,-,-,-
강릉왕산,강원 강릉시 왕산면 대기리 2214-107,128.7392896,37.62275271,2016,970.75,986.53,15.78,-,-,-
강릉홍제,강원 강릉시 홍제동 96-54,128.8839419,37.74770958,2016,14.88,20.3,5.42,14.94,20.36,5.42
강진성전,전남 강진군 성전면 월평리 66-1,126.6828635,34.69998524,2016,52.3,54.88,2.58,52.31,54.9,2.59
강진옴천,전남 강진군 옴천면 개산리 279-12,126.792933,34.7446749,2016,101.49,103.62,2.13,-,-,-
강진칠량,전남 강진군 칠량면 영동리 1137-80,126.7983505,34.57229438,2016,5.3,8.96,3.66,5.84,8.93,3.09
거제신현,경남 거제시 신현읍 삼거리 529-1,128.6474894,34.84767051,2016,139.12,140.28,1.16,136.75,140.28,3.53
거제연초,경남 거제시 연초면 덕치리 산69-3,128.6531261,34.94460242,2016,55.89,77.614,21.724,-,-,-
거창거창,경남 거창군 거창읍 학리 1047-62,127.9240293,35.72276525,2016,202.13,204.59,2.46,202.07,204.58,2.51
거창신원,경남 거창군 신원면 수원리 산 76-2,127.9767291,35.58867344,2016,196.1,215.36,19.26,-,-,-
거창웅양,경남 거창군 웅양면 노현리 1399-9,127.921071,35.80660252,2016,296.41,299.54,3.13,-,-,-
경산남산,경북 경산시 남산면 산양리 57,128.8373821,35.79325959,2016,63.28,69.5,6.22,64.75,69.5,4.75
경산진량,경북 경산시 진량읍 다문리 261,128.8511409,35.87118847,2016,72.55,75.69,3.14,-,-,-
경주건천,경북 경주시 건천읍 방내리 1299-1,129.1049609,35.82347773,2016,86.19,89.09,2.9,86.17,89.07,2.9
경주산내,경북 경주시 산내면 의곡리 89-13,129.0476574,35.7544018,2016,198.56,200.04,1.48,198.74,200.04,1.3
경주양북,경북 경주시 양북면 용동리 산323-2,129.4107861,35.83077178,2016,132.95,136.22,3.27,124.43,136.22,11.79
경주외동,경북 경주시 외동읍 활성리 948-1,129.3229272,35.75367529,2016,93.41,96.8,3.39,93.34,96.8,3.46
경주천북,경북 경주시 천북면 동산리 506-1,129.2711587,35.89512345,2016,33.48,42.38,8.9,36.47,41.38,4.91
계룡엄사,충남 계룡시 엄사면 엄사리 13-31,127.2470248,36.28313796,2016,134.66,139.02,4.36,-,-,-
고령고령,경북 고령군 고령읍 장기리 331-2,128.2763374,35.71778462,2016,22.8,28.22,5.42,22.76,28.2,5.44
고성거류,경남 고성군 거류면 당동리 66,128.4042958,34.99347207,2016,5.27,11.98,6.71,-,-,-
